defending_team,position,tries_scored_against,games,concede_rate
Brisbane Broncos,2RF,44,204,0.21568627450980393
Brisbane Broncos,CE,75,204,0.36764705882352944
Brisbane Broncos,FB,47,102,0.46078431372549017
Brisbane Broncos,FE,27,102,0.2647058823529412
Brisbane Broncos,HB,21,102,0.20588235294117646
Brisbane Broncos,HK,17,102,0.16666666666666666
Brisbane Broncos,IC,35,410,0.08536585365853659
Brisbane Broncos,LK,14,102,0.13725490196078433
Brisbane Broncos,PR,14,204,0.06862745098039216
Brisbane Broncos,WG,122,204,0.5980392156862745
Canberra Raiders,2RF,52,204,0.2549019607843137
Canberra Raiders,CE,89,204,0.4362745098039216
Canberra Raiders,FB,37,102,0.3627450980392157
Canberra Raiders,FE,35,102,0.3431372549019608
Canberra Raiders,HB,21,102,0.20588235294117646
Canberra Raiders,HK,21,102,0.20588235294117646
Canberra Raiders,IC,27,406,0.0665024630541872
Canberra Raiders,LK,10,102,0.09803921568627451
Canberra Raiders,PR,17,204,0.08333333333333333
Canberra Raiders,WG,115,204,0.5637254901960784
Canterbury-Bankstown Bulldogs,2RF,54,200,0.27
Canterbury-Bankstown Bulldogs,CE,71,200,0.355
Canterbury-Bankstown Bulldogs,FB,53,100,0.53
Canterbury-Bankstown Bulldogs,FE,22,100,0.22
Canterbury-Bankstown Bulldogs,HB,23,100,0.23
Canterbury-Bankstown Bulldogs,HK,12,100,0.12
Canterbury-Bankstown Bulldogs,IC,49,403,0.12158808933002481
Canterbury-Bankstown Bulldogs,LK,10,100,0.1
Canterbury-Bankstown Bulldogs,PR,22,200,0.11
Canterbury-Bankstown Bulldogs,WG,126,200,0.63
Cronulla-Sutherland Sharks,2RF,34,208,0.16346153846153846
Cronulla-Sutherland Sharks,CE,60,208,0.28846153846153844
Cronulla-Sutherland Sharks,FB,43,104,0.41346153846153844
Cronulla-Sutherland Sharks,FE,21,104,0.20192307692307693
Cronulla-Sutherland Sharks,HB,21,104,0.20192307692307693
Cronulla-Sutherland Sharks,HK,17,104,0.16346153846153846
Cronulla-Sutherland Sharks,IC,29,418,0.06937799043062201
Cronulla-Sutherland Sharks,LK,14,104,0.1346153846153846
Cronulla-Sutherland Sharks,PR,16,208,0.07692307692307693
Cronulla-Sutherland Sharks,WG,96,208,0.46153846153846156
Dolphins,2RF,21,102,0.20588235294117646
Dolphins,CE,46,102,0.45098039215686275
Dolphins,FB,22,51,0.43137254901960786
Dolphins,FE,11,51,0.21568627450980393
Dolphins,HB,16,51,0.3137254901960784
Dolphins,HK,10,51,0.19607843137254902
Dolphins,IC,14,204,0.06862745098039216
Dolphins,LK,7,51,0.13725490196078433
Dolphins,PR,9,102,0.08823529411764706
Dolphins,WG,64,102,0.6274509803921569
Gold Coast Titans,2RF,51,198,0.25757575757575757
Gold Coast Titans,CE,63,198,0.3181818181818182
Gold Coast Titans,FB,66,99,0.6666666666666666
Gold Coast Titans,FE,27,99,0.2727272727272727
Gold Coast Titans,HB,26,99,0.26262626262626265
Gold Coast Titans,HK,12,99,0.12121212121212122
Gold Coast Titans,IC,29,395,0.07341772151898734
Gold Coast Titans,LK,12,99,0.12121212121212122
Gold Coast Titans,PR,25,198,0.12626262626262627
Gold Coast Titans,WG,149,198,0.7525252525252525
Manly-Warringah Sea Eagles,2RF,55,208,0.2644230769230769
Manly-Warringah Sea Eagles,CE,63,208,0.30288461538461536
Manly-Warringah Sea Eagles,FB,54,104,0.5192307692307693
Manly-Warringah Sea Eagles,FE,22,104,0.21153846153846154
Manly-Warringah Sea Eagles,HB,28,104,0.2692307692307692
Manly-Warringah Sea Eagles,HK,15,104,0.14423076923076922
Manly-Warringah Sea Eagles,IC,33,415,0.07951807228915662
Manly-Warringah Sea Eagles,LK,11,104,0.10576923076923077
Manly-Warringah Sea Eagles,PR,12,208,0.057692307692307696
Manly-Warringah Sea Eagles,WG,123,208,0.5913461538461539
Melbourne Storm,2RF,35,214,0.16355140186915887
Melbourne Storm,CE,58,214,0.27102803738317754
Melbourne Storm,FB,18,107,0.16822429906542055
Melbourne Storm,FE,14,107,0.1308411214953271
Melbourne Storm,HB,6,107,0.056074766355140186
Melbourne Storm,HK,9,107,0.08411214953271028
Melbourne Storm,IC,21,426,0.04929577464788732
Melbourne Storm,LK,7,107,0.06542056074766354
Melbourne Storm,PR,8,214,0.037383177570093455
Melbourne Storm,WG,149,214,0.6962616822429907
New Zealand Warriors,2RF,50,204,0.24509803921568626
New Zealand Warriors,CE,66,204,0.3235294117647059
New Zealand Warriors,FB,49,102,0.4803921568627451
New Zealand Warriors,FE,30,102,0.29411764705882354
New Zealand Warriors,HB,28,102,0.27450980392156865
New Zealand Warriors,HK,13,102,0.12745098039215685
New Zealand Warriors,IC,31,404,0.07673267326732673
New Zealand Warriors,LK,9,102,0.08823529411764706
New Zealand Warriors,PR,18,204,0.08823529411764706
New Zealand Warriors,WG,138,204,0.6764705882352942
Newcastle Knights,2RF,53,206,0.25728155339805825
Newcastle Knights,CE,75,206,0.3640776699029126
Newcastle Knights,FB,35,103,0.33980582524271846
Newcastle Knights,FE,25,103,0.24271844660194175
Newcastle Knights,HB,21,103,0.20388349514563106
Newcastle Knights,HK,12,103,0.11650485436893204
Newcastle Knights,IC,37,412,0.08980582524271845
Newcastle Knights,LK,7,103,0.06796116504854369
Newcastle Knights,PR,12,206,0.05825242718446602
Newcastle Knights,WG,141,206,0.6844660194174758
North Queensland Cowboys,2RF,47,206,0.22815533980582525
North Queensland Cowboys,CE,68,206,0.3300970873786408
North Queensland Cowboys,FB,41,103,0.39805825242718446
North Queensland Cowboys,FE,21,103,0.20388349514563106
North Queensland Cowboys,HB,22,103,0.21359223300970873
North Queensland Cowboys,HK,18,103,0.17475728155339806
North Queensland Cowboys,IC,32,414,0.07729468599033816
North Queensland Cowboys,LK,15,103,0.14563106796116504
North Queensland Cowboys,PR,27,206,0.13106796116504854
North Queensland Cowboys,WG,130,206,0.6310679611650486
Parramatta Eels,2RF,36,210,0.17142857142857143
Parramatta Eels,CE,78,210,0.37142857142857144
Parramatta Eels,FB,49,105,0.4666666666666667
Parramatta Eels,FE,25,105,0.23809523809523808
Parramatta Eels,HB,16,105,0.1523809523809524
Parramatta Eels,HK,23,105,0.21904761904761905
Parramatta Eels,IC,19,424,0.04481132075471698
Parramatta Eels,LK,10,105,0.09523809523809523
Parramatta Eels,PR,8,210,0.0380952380952381
Parramatta Eels,WG,169,210,0.8047619047619048
Penrith Panthers,2RF,30,222,0.13513513513513514
Penrith Panthers,CE,39,222,0.17567567567567569
Penrith Panthers,FB,40,111,0.36036036036036034
Penrith Panthers,FE,21,111,0.1891891891891892
Penrith Panthers,HB,8,111,0.07207207207207207
Penrith Panthers,HK,16,111,0.14414414414414414
Penrith Panthers,IC,20,440,0.045454545454545456
Penrith Panthers,LK,4,111,0.036036036036036036
Penrith Panthers,PR,11,222,0.04954954954954955
Penrith Panthers,WG,79,222,0.35585585585585583
South Sydney Rabbitohs,2RF,39,210,0.18571428571428572
South Sydney Rabbitohs,CE,64,210,0.3047619047619048
South Sydney Rabbitohs,FB,40,105,0.38095238095238093
South Sydney Rabbitohs,FE,28,105,0.26666666666666666
South Sydney Rabbitohs,HB,27,105,0.2571428571428571
South Sydney Rabbitohs,HK,15,105,0.14285714285714285
South Sydney Rabbitohs,IC,24,422,0.05687203791469194
South Sydney Rabbitohs,LK,7,105,0.06666666666666667
South Sydney Rabbitohs,PR,12,210,0.05714285714285714
South Sydney Rabbitohs,WG,141,210,0.6714285714285714
St George Illawarra Dragons,2RF,61,196,0.3112244897959184
St George Illawarra Dragons,CE,67,196,0.34183673469387754
St George Illawarra Dragons,FB,52,98,0.5306122448979592
St George Illawarra Dragons,FE,32,98,0.32653061224489793
St George Illawarra Dragons,HB,30,98,0.30612244897959184
St George Illawarra Dragons,HK,16,98,0.16326530612244897
St George Illawarra Dragons,IC,42,394,0.1065989847715736
St George Illawarra Dragons,LK,10,98,0.10204081632653061
St George Illawarra Dragons,PR,20,196,0.10204081632653061
St George Illawarra Dragons,WG,112,196,0.5714285714285714
Sydney Roosters,2RF,42,214,0.19626168224299065
Sydney Roosters,CE,45,214,0.2102803738317757
Sydney Roosters,FB,36,107,0.3364485981308411
Sydney Roosters,FE,35,107,0.32710280373831774
Sydney Roosters,HB,23,107,0.21495327102803738
Sydney Roosters,HK,17,107,0.1588785046728972
Sydney Roosters,IC,32,429,0.07459207459207459
Sydney Roosters,LK,14,107,0.1308411214953271
Sydney Roosters,PR,14,214,0.06542056074766354
Sydney Roosters,WG,117,214,0.5467289719626168
Wests Tigers,2RF,61,198,0.30808080808080807
Wests Tigers,CE,72,198,0.36363636363636365
Wests Tigers,FB,59,99,0.5959595959595959
Wests Tigers,FE,36,99,0.36363636363636365
Wests Tigers,HB,30,99,0.30303030303030304
Wests Tigers,HK,12,99,0.12121212121212122
Wests Tigers,IC,44,393,0.11195928753180662
Wests Tigers,LK,12,99,0.12121212121212122
Wests Tigers,PR,23,198,0.11616161616161616
Wests Tigers,WG,150,198,0.7575757575757576
